birdclass,birdname,bird_num
0,Black_footed_Albatross,001.Black_footed_Albatross
1,Laysan_Albatross,002.Laysan_Albatross
2,Sooty_Albatross,003.Sooty_Albatross
3,Groove_billed_Ani,004.Groove_billed_Ani
4,Brewer_Blackbird,009.Brewer_Blackbird
5,Red_winged_Blackbird,010.Red_winged_Blackbird
6,Rusty_Blackbird,011.Rusty_Blackbird
7,Bobolink,013.Bobolink
8,Lazuli_Bunting,015.Lazuli_Bunting
9,Indigo_Bunting,014.Indigo_Bunting
10,Painted_Bunting,016.Painted_Bunting
11,Yellow_breasted_Chat,020.Yellow_breasted_Chat
12,Gray_Catbird,019.Gray_Catbird
13,Eastern_Towhee,021.Eastern_Towhee
14,Brandt_Cormorant,023.Brandt_Cormorant
15,Pelagic_Cormorant,025.Pelagic_Cormorant
16,Bronzed_Cowbird,026.Bronzed_Cowbird
17,Shiny_Cowbird,027.Shiny_Cowbird
18,Brown_Creeper,028.Brown_Creeper
19,American_Crow,029.American_Crow
20,Black_billed_Cuckoo,031.Black_billed_Cuckoo
21,Fish_Crow,030.Fish_Crow
22,Gray_crowned_Rosy_Finch,034.Gray_crowned_Rosy_Finch
23,Yellow_billed_Cuckoo,033.Yellow_billed_Cuckoo
24,Northern_Flicker,036.Northern_Flicker
25,Purple_Finch,035.Purple_Finch
26,Acadian_Flycatcher,037.Acadian_Flycatcher
27,Least_Flycatcher,039.Least_Flycatcher
28,Great_Crested_Flycatcher,038.Great_Crested_Flycatcher
29,Olive_sided_Flycatcher,040.Olive_sided_Flycatcher
30,Vermilion_Flycatcher,042.Vermilion_Flycatcher
31,Scissor_tailed_Flycatcher,041.Scissor_tailed_Flycatcher
32,Yellow_bellied_Flycatcher,043.Yellow_bellied_Flycatcher
33,Northern_Fulmar,045.Northern_Fulmar
34,Frigatebird,044.Frigatebird
35,Gadwall,046.Gadwall
36,American_Goldfinch,047.American_Goldfinch
37,European_Goldfinch,048.European_Goldfinch
38,Boat_tailed_Grackle,049.Boat_tailed_Grackle
39,Eared_Grebe,050.Eared_Grebe
40,Horned_Grebe,051.Horned_Grebe
41,Pied_billed_Grebe,052.Pied_billed_Grebe
42,Western_Grebe,053.Western_Grebe
43,Blue_Grosbeak,054.Blue_Grosbeak
44,Evening_Grosbeak,055.Evening_Grosbeak
45,Pine_Grosbeak,056.Pine_Grosbeak
46,Rose_breasted_Grosbeak,057.Rose_breasted_Grosbeak
47,Pigeon_Guillemot,058.Pigeon_Guillemot
48,California_Gull,059.California_Gull
49,Glaucous_winged_Gull,060.Glaucous_winged_Gull
50,Heermann_Gull,061.Heermann_Gull
51,Herring_Gull,062.Herring_Gull
52,Ivory_Gull,063.Ivory_Gull
53,Ring_billed_Gull,064.Ring_billed_Gull
54,Western_Gull,066.Western_Gull
55,Anna_Hummingbird,067.Anna_Hummingbird
56,Ruby_throated_Hummingbird,068.Ruby_throated_Hummingbird
57,Rufous_Hummingbird,069.Rufous_Hummingbird
58,Green_Violetear,070.Green_Violetear
59,Pomarine_Jaeger,072.Pomarine_Jaeger
60,Long_tailed_Jaeger,071.Long_tailed_Jaeger
61,Blue_Jay,073.Blue_Jay
62,Florida_Jay,074.Florida_Jay
63,Tropical_Kingbird,077.Tropical_Kingbird
64,Dark_eyed_Junco,076.Dark_eyed_Junco
65,Gray_Kingbird,078.Gray_Kingbird
66,Belted_Kingfisher,079.Belted_Kingfisher
67,Green_Kingfisher,080.Green_Kingfisher
68,Pied_Kingfisher,081.Pied_Kingfisher
69,Ringed_Kingfisher,082.Ringed_Kingfisher
70,White_breasted_Kingfisher,083.White_breasted_Kingfisher
71,Horned_Lark,085.Horned_Lark
72,Pacific_Loon,086.Pacific_Loon
73,Mallard,087.Mallard
74,Western_Meadowlark,088.Western_Meadowlark
75,Hooded_Merganser,089.Hooded_Merganser
76,Mockingbird,091.Mockingbird
77,Red_breasted_Merganser,090.Red_breasted_Merganser
78,Nighthawk,092.Nighthawk
79,Clark_Nutcracker,093.Clark_Nutcracker
80,Baltimore_Oriole,095.Baltimore_Oriole
81,White_breasted_Nuthatch,094.White_breasted_Nuthatch
82,Hooded_Oriole,096.Hooded_Oriole
83,Orchard_Oriole,097.Orchard_Oriole
84,Scott_Oriole,098.Scott_Oriole
85,Ovenbird,099.Ovenbird
86,Brown_Pelican,100.Brown_Pelican
87,Western_Wood_Pewee,102.Western_Wood_Pewee
88,Sayornis,103.Sayornis
89,American_Pipit,104.American_Pipit
90,Horned_Puffin,106.Horned_Puffin
91,Common_Raven,107.Common_Raven
92,White_necked_Raven,108.White_necked_Raven
93,American_Redstart,109.American_Redstart
94,Geococcyx,110.Geococcyx
95,Loggerhead_Shrike,111.Loggerhead_Shrike
96,Great_Grey_Shrike,112.Great_Grey_Shrike
97,Black_throated_Sparrow,114.Black_throated_Sparrow
98,Brewer_Sparrow,115.Brewer_Sparrow
99,Chipping_Sparrow,116.Chipping_Sparrow
100,Clay_colored_Sparrow,117.Clay_colored_Sparrow
101,Field_Sparrow,119.Field_Sparrow
102,House_Sparrow,118.House_Sparrow
103,Fox_Sparrow,120.Fox_Sparrow
104,Grasshopper_Sparrow,121.Grasshopper_Sparrow
105,Harris_Sparrow,122.Harris_Sparrow
106,Henslow_Sparrow,123.Henslow_Sparrow
107,Le_Conte_Sparrow,124.Le_Conte_Sparrow
108,Lincoln_Sparrow,125.Lincoln_Sparrow
109,Nelson_Sharp_tailed_Sparrow,126.Nelson_Sharp_tailed_Sparrow
110,Savannah_Sparrow,127.Savannah_Sparrow
111,Seaside_Sparrow,128.Seaside_Sparrow
112,Song_Sparrow,129.Song_Sparrow
113,Tree_Sparrow,130.Tree_Sparrow
114,Vesper_Sparrow,131.Vesper_Sparrow
115,White_crowned_Sparrow,132.White_crowned_Sparrow
116,White_throated_Sparrow,133.White_throated_Sparrow
117,Cape_Glossy_Starling,134.Cape_Glossy_Starling
118,Bank_Swallow,135.Bank_Swallow
119,Barn_Swallow,136.Barn_Swallow
120,Cliff_Swallow,137.Cliff_Swallow
121,Tree_Swallow,138.Tree_Swallow
122,Scarlet_Tanager,139.Scarlet_Tanager
123,Summer_Tanager,140.Summer_Tanager
124,Artic_Tern,141.Artic_Tern
125,Black_Tern,142.Black_Tern
126,Caspian_Tern,143.Caspian_Tern
127,Common_Tern,144.Common_Tern
128,Elegant_Tern,145.Elegant_Tern
129,Forsters_Tern,146.Forsters_Tern
130,Least_Tern,147.Least_Tern
131,Green_tailed_Towhee,148.Green_tailed_Towhee
132,Brown_Thrasher,149.Brown_Thrasher
133,Sage_Thrasher,150.Sage_Thrasher
134,Blue_headed_Vireo,152.Blue_headed_Vireo
135,Philadelphia_Vireo,153.Philadelphia_Vireo
136,Red_eyed_Vireo,154.Red_eyed_Vireo
137,White_eyed_Vireo,156.White_eyed_Vireo
138,Warbling_Vireo,155.Warbling_Vireo
139,Yellow_throated_Vireo,157.Yellow_throated_Vireo
140,Bay_breasted_Warbler,158.Bay_breasted_Warbler
141,Black_and_white_Warbler,159.Black_and_white_Warbler
142,Black_throated_Blue_Warbler,160.Black_throated_Blue_Warbler
143,Blue_winged_Warbler,161.Blue_winged_Warbler
144,Canada_Warbler,162.Canada_Warbler
145,Cape_May_Warbler,163.Cape_May_Warbler
146,Cerulean_Warbler,164.Cerulean_Warbler
147,Chestnut_sided_Warbler,165.Chestnut_sided_Warbler
148,Golden_winged_Warbler,166.Golden_winged_Warbler
149,Hooded_Warbler,167.Hooded_Warbler
150,Kentucky_Warbler,168.Kentucky_Warbler
151,Magnolia_Warbler,169.Magnolia_Warbler
152,Mourning_Warbler,170.Mourning_Warbler
153,Myrtle_Warbler,171.Myrtle_Warbler
154,Nashville_Warbler,172.Nashville_Warbler
155,Orange_crowned_Warbler,173.Orange_crowned_Warbler
156,Palm_Warbler,174.Palm_Warbler
157,Pine_Warbler,175.Pine_Warbler
158,Prairie_Warbler,176.Prairie_Warbler
159,Prothonotary_Warbler,177.Prothonotary_Warbler
160,Tennessee_Warbler,179.Tennessee_Warbler
161,Wilson_Warbler,180.Wilson_Warbler
162,Worm_eating_Warbler,181.Worm_eating_Warbler
163,Northern_Waterthrush,183.Northern_Waterthrush
164,Yellow_Warbler,182.Yellow_Warbler
165,Louisiana_Waterthrush,184.Louisiana_Waterthrush
166,Bohemian_Waxwing,185.Bohemian_Waxwing
167,Cedar_Waxwing,186.Cedar_Waxwing
168,Pileated_Woodpecker,188.Pileated_Woodpecker
169,Red_bellied_Woodpecker,189.Red_bellied_Woodpecker
170,Red_cockaded_Woodpecker,190.Red_cockaded_Woodpecker
171,Red_headed_Woodpecker,191.Red_headed_Woodpecker
172,Downy_Woodpecker,192.Downy_Woodpecker
173,Bewick_Wren,193.Bewick_Wren
174,Cactus_Wren,194.Cactus_Wren
175,Carolina_Wren,195.Carolina_Wren
176,House_Wren,196.House_Wren
177,Rock_Wren,198.Rock_Wren
178,Marsh_Wren,197.Marsh_Wren
179,Winter_Wren,199.Winter_Wren
180,Common_Yellowthroat,200.Common_Yellowthroat
